run_number,steps,rewards,exploration_probability,advancing_steps,advancing_rewards,testing_steps,testing_rewards,successful_network_update
87,2,-0.845540636938,0.9795046128320498,1,-0.699027959361,,,1
88,1,-0.702002266159,0.9792687818434866,,,,,1
89,1,-0.631977973352,0.9790330076349063,3,-1.20869799383,,,1
90,2,-1.07331142721,0.9787972901926383,,,,,1
91,1,-0.619320163424,0.9785616295030151,,,2,-0.982299112082,1
92,1,-0.743453688599,0.9783260255523727,,,,,1
93,1,-0.650892512158,0.9780904783270502,3,-1.04192938447,,,1
94,1,-0.734734107004,0.9778549878133902,,,,,1
95,1,-0.750068388999,0.9776195539977385,4,-0.963154787255,,,1
96,1,-0.628245943694,0.9773841768664441,,,,,1
97,2,-0.6448898388,0.9771488564058594,8,-0.305093434233,,,1
98,1,-0.640950189591,0.97691359260234,,,,,1
99,1,-0.7621298033,0.976678385442245,2,-0.894499963566,,,1
100,1,-0.778402680525,0.9764432349119364,,,,,0
101,1,-0.756716520777,0.9762081409977799,,,7,-0.406390284314,1
102,1,-0.737448221329,0.975973103686144,,,,,0
103,2,-0.560308850475,0.975738122963401,1,-0.642419200467,,,1
104,1,-0.731782692176,0.9755031988159262,,,,,1
105,1,-0.701131486147,0.9752683312300982,1,-1.0,,,1
106,1,-0.748548477836,0.9750335201922987,,,,,0
107,1,-0.70634283712,0.9747987656889132,1,-0.665508257606,,,1
108,1,-0.77093962812,0.9745640677063301,,,,,1
109,1,-0.615982822736,0.974329426230941,1,-0.655552953537,,,1
110,1,-0.76651393391,0.9740948412491409,,,,,1
111,1,-0.683812874351,0.9738603127473282,,,6,-1.33120536912,1
112,1,-0.708315095697,0.9736258407119045,,,,,1
113,1,-0.634254858048,0.9733914251292746,1,-0.6189753849,,,1
114,1,-0.71556436006,0.9731570659858465,,,,,1
115,2,0.34138843288,0.9729227632680317,1,-0.626374772137,,,1
116,1,-0.690030164352,0.9726885169622448,,,,,1
117,2,-0.636898552938,0.9724543270549038,1,-0.602499502856,,,1
118,1,-0.742856905301,0.9722201935324297,,,,,1
119,2,-0.956501993425,0.9719861163812472,2,-0.698308746587,,,1
120,1,-0.681069210828,0.971752095587784,,,,,1
121,1,-0.721100744852,0.971518131138471,,,5,-1.04572297106,1
122,1,-0.652417791944,0.9712842230197425,,,,,1
123,1,-0.708924811007,0.9710503712180361,1,-0.636087669758,,,1
124,1,-0.725272952035,0.9708165757197924,,,,,1
125,1,-0.766351834142,0.9705828365114557,1,-0.621323827968,,,1
126,1,-0.641775471054,0.9703491535794733,,,,,1
127,1,-0.656080504555,0.9701155269102956,1,-0.633291569193,,,1
128,2,0.370653094666,0.9698819564903766,,,,,0
129,1,-0.6083318853,0.9696484423061734,3,-0.744352732744,,,1
130,1,-0.714183321251,0.9694149843441464,,,,,1
131,1,-0.616322412618,0.9691815825907593,,,4,-1.18750825405,1
132,1,-0.607551285767,0.9689482370324788,,,,,1
133,2,-0.9351836802,0.9687149476557751,4,-0.808028782585,,,1
134,1,-0.773564058557,0.9684817144471217,,,,,1
135,2,-0.854224596117,0.9682485373929953,4,0.221618007685,,,1
136,2,-1.01753538278,0.9680154164798758,,,,,1
137,1,-0.745514744725,0.9677823516942462,2,-0.949030658776,,,1
138,1,-0.683309370717,0.9675493430225931,,,,,0
